Year,Month,rice_area(ha),rice_pro(%),rice_monthly_usage,maize_area(ha),maize_pro(%),maize_monthly_usage,wheat_area(ha),wheat_pro(%),wheat_monthly_usage,CCD,DC800A,CODW, CODO,CCS,total_usage,
2010,7,14512,68.3,1692.474,4367,7.2,178.416,11334,5.1,126.378,0,191,181,106,2000,2478,20.00033875
2010,8,14512,68.3,25895.945,4367,7.2,2729.88,11334,5.1,1933.665,268,127,11,40,37469,37915,25.60348901
2010,9,14512,68.3,11791.995,4367,7.2,1243.08,11334,5.1,880.515,2504,924,2037,17,11783,17265,44.30337001
2010,10,14512,68.3,31442.588,4367,7.2,3314.592,11334,5.1,2347.836,2760,3586,531,1,39158,46036,72.82893996
2010,11,14512,68.3,25580.399,4367,7.2,2696.616,11334,5.1,1910.103,2311,455,839,0,33848,37453,86.72328659
2010,12,14512,68.3,48689.704,4367,7.2,5132.736,11334,5.1,3635.688,8453,866,498,0,61471,71288,126.5267786
2011,1,14512,68.3,56765.496,4367,7.2,5984.064,11334,5.1,4238.712,1126,1430,4062,11,76483,83112,135.7743623
2011,2,14512,68.3,32103.732,4367,7.2,3384.288,11334,5.1,2397.204,891,6802,8908,534,29869,47004,84.22500756
2011,3,14512,68.3,17917.822,4367,7.2,1888.848,11334,5.1,1337.934,0,2474,1181,0,22579,26234,71.19223843
2011,4,14512,68.3,7575.836,4367,7.2,798.624,11334,5.1,565.692,0,2405,147,27,8513,11092,52.31717218
2011,5,14512,68.3,10934.147,4367,7.2,1152.648,11334,5.1,816.459,0,822,1181,476,13530,16009,31.1885
2011,6,14512,68.3,3023.641,4367,7.2,318.744,11334,5.1,225.777,820,1357,1653,597,0,4427,23.41955221
2011,7,16745,62.1,15.525,4767,8.2,2.05,15989,8.7,2.175,0,25,0,0,0,25,23.67987804
2011,8,16745,62.1,12536.748,4767,8.2,1655.416,15989,8.7,1756.356,0,138,195,1,19854,20188,38.5052202
2011,9,16745,62.1,23194.971,4767,8.2,3062.782,15989,8.7,3249.537,0,333,202,9,36807,37351,54.14454989
