,Year,Month,Day,Date,Maximum temperature (Degree C),Minimum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),EToi
0,2010,1,1,1/1/2010,31.0,21.9,20.3,0.0,2.5428339912535636
1,2010,1,2,1/2/2010,29.3,20.4,28.8,5.1,3.4387018769801805
2,2010,1,3,1/3/2010,28.7,12.5,34.6,0.0,5.018256196552081
3,2010,1,4,1/4/2010,32.7,12.8,34.4,0.0,5.839341012693543
4,2010,1,5,1/5/2010,36.7,18.8,33.7,0.0,6.094425841044715
5,2010,1,6,1/6/2010,34.6,18.0,34.2,0.0,5.76642620595895
6,2010,1,7,1/7/2010,33.8,13.9,35.0,0.0,6.102356666514218
7,2010,1,8,1/8/2010,37.4,19.3,32.1,0.0,5.91430918115198
8,2010,1,9,1/9/2010,39.9,24.1,31.9,0.0,5.925657807448567
9,2010,1,10,1/10/2010,43.3,25.7,33.0,0.0,6.794538467551045
10,2010,1,11,1/11/2010,43.4,23.8,32.8,0.0,7.004110635503352
11,2010,1,12,1/12/2010,42.4,31.2,30.9,0.0,5.298441364724925
12,2010,1,13,1/13/2010,30.0,23.6,18.2,0.0,1.9270111732299715
13,2010,1,14,1/14/2010,32.7,12.4,33.8,0.0,5.766287040859247
14,2010,1,15,1/15/2010,37.4,18.1,32.3,0.0,6.065373608647156
15,2010,1,16,1/16/2010,38.0,21.8,32.7,0.0,5.891306774461082
16,2010,1,17,1/17/2010,26.5,17.1,30.5,0.0,3.4749371269420926
17,2010,1,18,1/18/2010,24.3,11.4,28.8,0.0,3.4604683080598546
18,2010,1,19,1/19/2010,26.7,10.6,32.5,0.0,4.460482406880898
19,2010,1,20,1/20/2010,34.5,13.9,32.9,0.0,5.885275498688888
20,2010,1,21,1/21/2010,39.3,20.1,24.6,0.0,4.804711662756701
21,2010,1,22,1/22/2010,42.4,25.5,31.5,0.0,6.2885752097243515
22,2010,1,23,1/23/2010,34.0,22.4,32.6,0.0,4.792834419642338
23,2010,1,24,1/24/2010,34.1,14.1,33.4,0.0,5.873047139954955
24,2010,1,25,1/25/2010,36.9,16.9,32.5,0.0,6.0966867452943
25,2010,1,26,1/26/2010,38.6,20.2,29.6,0.0,5.623809749459781
26,2010,1,27,1/27/2010,38.5,20.4,30.3,0.0,5.715730296321936
27,2010,1,28,1/28/2010,35.3,15.5,29.7,0.0,5.357482860947527
28,2010,1,29,1/29/2010,35.5,18.3,31.4,0.0,5.462474137290794
29,2010,1,30,1/30/2010,37.5,21.5,29.6,0.0,5.255340287999999
30,2010,1,31,1/31/2010,36.1,21.5,27.0,0.0,4.511428801944007
31,2010,2,1,2/1/2010,37.7,25.2,23.6,0.0,3.8562150336395
32,2010,2,2,2/2/2010,32.1,21.5,22.3,0.0,3.0386498164278333
33,2010,2,3,2/3/2010,35.5,21.3,20.8,0.0,3.398110379787291
34,2010,2,4,2/4/2010,33.1,20.2,14.1,0.9,2.1123881971082414
35,2010,2,5,2/5/2010,26.7,19.2,11.7,19.6,1.225270861687434
36,2010,2,6,2/6/2010,31.5,17.8,17.6,0.0,2.5950076655781125
37,2010,2,7,2/7/2010,33.6,21.5,25.9,0.0,3.834049713191354
38,2010,2,8,2/8/2010,33.1,22.8,19.1,0.0,2.631667863357894
39,2010,2,9,2/9/2010,35.1,23.4,23.9,0.0,3.6094286287938266
